pc4,stedelijkheid,mgr_mean,PercentageTrees,PercentageBushes,PercentageGrass
1744,5,3.236751279,24.43,9.44,57.83
1746,5,3.632601199,28.34,8.01,59.72
1747,5,3.479874723,20.16,8.85,49.88
1749,4,4.04609738,27.82,8.39,53.18
1751,5,3.573216985,32.35,9.37,54.09
1752,5,3.334298678,31.17,9.93,54.61
1753,5,3.445768098,31.65,12.57,52.92
1754,5,3.534794336,25.37,9.91,60.07
1755,5,3.011001722,28.26,14.37,65.3
1756,5,3.497911757,27.12,9.59,54.7
1757,5,3.389422339,35.47,8.5,57.48
1759,5,3.170139295,26.72,18.31,64.9
1761,4,3.234223685,26.28,8.88,55.39
1764,5,3.49084487,21.34,8.82,55.2
1766,5,3.124550105,28.78,7.5,56.22
1767,5,3.376881404,28.22,8.45,55.2
1768,5,3.385280383,23.5,8.11,59.45
1769,5,3.710379621,27.87,8.9,59.73
1771,4,3.140041738,53.66,7.83,40.83
1773,5,3.021999185,31.28,8.34,44.79
1774,5,3.137051039,44.08,7.35,47.45
1775,5,3.466784615,36.49,7.01,50.94
1777,4,3.175725712,24.2,9.5,63.1
1778,5,3.325763231,28.43,9.52,60.48
1779,5,3.551848777,28.53,9.07,53.84
1781,2,4.222234222,21.28,7.27,44.3
1782,2,3.672543581,21.75,9.62,50.12
1783,3,3.096722624,49.59,10.72,58.19
1784,2,3.740225205,24.44,8.56,50.78
1785,3,4.63353781,32.35,8.18,40.83
1786,5,4.457908824,24.02,8.9,67.22
1787,4,3.333289581,29.54,11.03,54.02
1788,3,3.553511938,16.72,10.53,38.43
1789,5,3.061897865,22.03,12.49,73.76
1791,4,3.140827376,51.82,10.14,56.95
1792,5,3.042809199,26.17,11.47,64.41
1793,5,2.988948112,24.36,11.95,70.22
1794,5,2.987352963,23.88,11.81,66.86
1795,5,2.856716585,26.35,14.95,80.99
1796,5,2.988930798,45.24,12.51,69.17
1797,5,2.994307766,21.26,16.0,82.55
1811,1,5.336465097,27.74,6.91,22.79
1812,4,6.287715443,27.05,7.38,54.76
1813,1,5.724161086,32.59,7.39,37.38
1814,1,5.306818902,21.75,8.62,31.95
1815,1,5.110490018,41.59,9.13,33.15
1816,2,4.972351908,32.2,8.43,48.15
1817,2,5.292002601,31.15,8.96,56.42
1821,1,6.939409407,22.45,6.29,31.04
1822,2,6.413164468,25.53,7.6,44.71
1823,1,5.439575054,24.03,8.26,42.46
1824,2,5.258708521,30.87,9.73,33.22
1825,2,4.855242355,29.95,9.55,40.61
1826,1,5.177664797,30.17,10.06,34.07
1827,2,4.618536616,21.38,9.4,36.43
1829,3,5.213660336,23.68,9.54,46.21
1831,3,4.656211213,28.79,9.85,60.31
1832,5,4.43659598,52.49,9.55,59.88
1834,3,4.964668377,21.59,9.53,48.35
1841,5,4.858387218,32.26,6.93,50.11
1842,5,4.023785204,32.24,7.42,60.48
1843,5,4.168997164,20.54,7.48,54.38
1844,5,4.180812484,27.65,9.62,56.75
1846,5,4.687499742,25.49,6.91,60.82
1847,5,4.744028046,31.88,7.34,59.23
1851,3,5.425099409,42.6,9.11,45.79
1852,3,4.468791504,39.4,9.94,45.74
1853,2,4.867430523,19.47,8.34,54.09
1861,3,3.808861184,56.17,12.06,47.15
1862,3,4.453591872,33.02,10.14,61.94
1865,5,3.316285003,48.21,16.07,67.92
1871,5,3.580929955,60.08,9.75,48.47
1873,5,3.398588014,43.57,14.39,37.65
1901,2,4.595434678,57.27,10.22,53.65
1902,2,5.491665821,26.63,10.74,54.53
1906,4,5.884125669,23.54,10.31,56.83
1911,3,6.882138338,21.42,8.63,57.6
1921,4,5.822888623,20.88,8.65,58.28
1931,3,3.8066998,27.5,10.85,68.65
1934,5,4.075055329,29.66,10.77,69.95
1935,5,4.400875335,44.99,11.0,72.06
1941,1,6.275952338,16.42,6.59,24.88
1942,1,5.92200361,31.41,10.16,40.74
1943,1,6.295989044,40.44,9.92,45.83
1944,1,5.77449843,24.47,9.68,46.95
1945,1,5.67451108,23.89,8.91,39.5
1946,1,5.895589274,19.81,6.95,43.72
1947,1,6.398919815,18.29,7.8,48.41
1948,2,7.098095824,21.57,7.21,57.35
1949,5,6.73622849,30.07,14.72,58.66
1951,3,7.958305724,28.94,9.14,53.14
1961,1,5.328683552,20.8,7.93,29.21
1962,2,5.087037971,32.97,8.2,41.75
1963,2,5.354215938,24.83,9.41,42.15
1964,1,5.423976997,22.47,9.59,37.5
1965,1,5.548044924,18.08,9.35,41.47
1966,1,5.690151162,25.95,7.99,35.57
1967,3,6.720096806,23.65,9.03,62.12
1968,5,4.741318384,47.92,9.16,57.34
1969,3,4.768412663,53.27,11.67,57.83
1971,2,5.200342008,55.22,9.64,27.96
1972,1,5.338905796,42.75,11.52,35.69
1973,1,5.523454687,20.63,8.58,43.54
1974,2,4.445487992,17.5,13.74,72.38
1975,2,6.781051128,19.31,7.37,50.02
1976,3,5.427516581,13.18,17.41,69.4
1981,4,6.417563856,49.81,11.53,47.69
1985,4,4.734442308,40.72,10.03,41.03
1991,2,5.837229363,23.25,9.1,49.77
1992,3,5.156662314,9.5,7.29,35.95
2011,1,5.821206446,24.52,7.36,24.28
2012,1,5.326961437,38.81,9.91,33.09
2013,1,5.158992703,16.87,11.28,27.5
2014,1,5.613191232,20.38,9.67,35.23
2015,2,5.04111066,28.86,10.6,41.24
2019,1,5.170892239,11.53,10.33,21.33
2021,1,5.632270167,18.0,8.35,28.03
2022,1,5.668677133,13.42,8.42,39.49
2023,1,5.470056645,22.3,10.29,34.56
2024,1,5.375050112,24.33,9.3,39.4
2025,1,5.545754537,17.06,8.3,34.65
2026,2,5.134014477,23.21,9.42,48.18
2031,2,7.056125605,20.36,11.32,52.12
2032,1,5.837650788,15.91,7.35,25.57
2033,1,6.016055879,20.45,9.08,46.77
2034,1,4.903839718,29.34,9.75,43.36
2035,1,5.686830491,24.0,10.54,43.61
2036,1,4.774000348,28.8,9.56,39.99
2037,1,4.834000394,22.95,9.31,45.85
2041,2,3.999215011,30.7,10.37,66.7
2042,2,3.870528257,27.81,11.35,72.57
2051,2,3.915074082,42.17,11.09,62.64
2061,3,4.205700238,52.79,9.95,33.74
2063,5,5.399773304,17.28,7.36,68.48
2064,5,7.97511989,35.78,15.57,57.27
2065,5,8.03854579,32.27,12.11,55.25
2071,2,4.543260605,45.01,12.82,42.84
2082,3,4.824192344,45.89,10.16,39.11
2101,2,5.000418881,29.6,10.23,34.95
2102,2,5.076260933,24.97,10.77,40.76
2103,2,5.287586109,33.46,9.36,41.26
2104,4,4.922574865,54.67,8.58,34.9
2105,3,4.89995344,38.93,10.0,40.71
2106,2,5.409669961,23.93,10.42,45.44
2111,4,4.274233042,57.16,9.18,31.14
2114,5,4.153525422,43.5,11.34,51.88
2116,5,3.90690702,44.08,12.17,47.48
2121,4,4.801866129,37.09,9.96,38.55
2131,2,5.680982151,28.19,9.85,50.6
2132,2,8.35138974,23.09,7.88,50.27
2133,2,6.313989488,22.7,9.81,41.31
